"Source Text","Translated Text","Context"
"Quantity Survey","Quantity Survey",""
"Bill of Quantities","Bill of Quantities",""
"BoQ","BoQ",""
"Valuation","Valuation",""
"Variation Order","Variation Order",""
"Payment Certificate","Payment Certificate",""
"Cost Plan","Cost Plan",""
"Tender","Tender",""
"Final Account","Final Account",""
"Measurement","Measurement",""
"Progress","Progress",""
"Project","Project",""
"Item","Item",""
"Quantity","Quantity",""
"Rate","Rate",""
"Amount","Amount",""
"Unit","Unit",""
"Description","Description",""
"Total","Total",""
"Status","Status",""
"Draft","Draft",""
"Submitted","Submitted",""
"Approved","Approved",""
"Cancelled","Cancelled",""
"Completed","Completed",""
"In Progress","In Progress",""
"Pending","Pending",""
"Addition","Addition",""
"Omission","Omission",""
"Substitution","Substitution",""
"Current","Current",""
"Previous","Previous",""
"Cumulative","Cumulative",""
"This Period","This Period",""
"Retention","Retention",""
"Advance","Advance",""
"Certified Amount","Certified Amount",""
"Net Amount","Net Amount",""
"Contract Value","Contract Value",""
"Work Done","Work Done",""
"Materials on Site","Materials on Site",""
"Less Previous","Less Previous",""
"Gross Amount","Gross Amount",""
"Create New","Create New",""
"Save","Save",""
"Submit","Submit",""
"Cancel","Cancel",""
"Approve","Approve",""
"Reject","Reject",""
"Print","Print",""
"Export","Export",""
"Import","Import",""
"Dashboard","Dashboard",""
"Reports","Reports",""
"Settings","Settings",""
"Help","Help",""
"Profile","Profile",""
"Home","Home",""
"Navigation","Navigation",""
"Search","Search",""
"Filter","Filter",""
"Sort","Sort",""
"View","View",""
"Edit","Edit",""
"Delete","Delete",""
"Duplicate","Duplicate",""
"Share","Share",""
"Email","Email",""
"SMS","SMS",""
"Notification","Notification",""
"Alert","Alert",""
"Warning","Warning",""
"Error","Error",""
"Success","Success",""
"Information","Information",""
"Loading","Loading",""
"Please wait","Please wait",""
"Processing","Processing",""
"Uploading","Uploading",""
"Downloading","Downloading",""
"Saving","Saving",""
"Submitting","Submitting",""
"Validating","Validating",""
"Complete","Complete",""
"Incomplete","Incomplete",""
"Required","Required",""
"Optional","Optional",""
"Invalid","Invalid",""
"Valid","Valid",""
"Yes","Yes",""
"No","No",""
"OK","OK",""
"Confirm","Confirm",""
"Proceed","Proceed",""
"Continue","Continue",""
"Back","Back",""
"Next","Next",""
"Previous","Previous",""
"First","First",""
"Last","Last",""
"Page","Page",""
"of","of",""
"Show","Show",""
"Hide","Hide",""
"Expand","Expand",""
"Collapse","Collapse",""
"Select","Select",""
"Deselect","Deselect",""
"Select All","Select All",""
"Clear All","Clear All",""
"Apply","Apply",""
"Reset","Reset",""
"Clear","Clear",""
"Close","Close",""
"Open","Open",""
"Refresh","Refresh",""
"Reload","Reload",""
"Update","Update",""
"Upgrade","Upgrade",""
"Install","Install",""
"Uninstall","Uninstall",""
"Configure","Configure",""
"Setup","Setup",""
"Initialize","Initialize",""
"Start","Start",""
"Stop","Stop",""
"Pause","Pause",""
"Resume","Resume",""
"Restart","Restart",""
"Sync","Sync",""
"Upload","Upload",""
"Download","Download",""
"Import Data","Import Data",""
"Export Data","Export Data",""
"Backup","Backup",""
"Restore","Restore",""
"Archive","Archive",""
"Unarchive","Unarchive",""
"Lock","Lock",""
"Unlock","Unlock",""
"Enable","Enable",""
"Disable","Disable",""
"Activate","Activate",""
"Deactivate","Deactivate",""
"Online","Online",""
"Offline","Offline",""
"Connected","Connected",""
"Disconnected","Disconnected",""
"Available","Available",""
"Unavailable","Unavailable",""
"Ready","Ready",""
"Not Ready","Not Ready",""
"Active","Active",""
"Inactive","Inactive",""
"Mobile App","Mobile App",""
"Touch to measure","Touch to measure",""
"Swipe to navigate","Swipe to navigate",""
"Tap to select","Tap to select",""
"Hold to edit","Hold to edit",""
"Pinch to zoom","Pinch to zoom",""
"Shake to refresh","Shake to refresh",""
"Voice input","Voice input",""
"Camera capture","Camera capture",""
"GPS location","GPS location",""
"Offline mode","Offline mode",""
"Sync required","Sync required",""
"Data saved locally","Data saved locally",""
"Upload pending","Upload pending",""
"Connection restored","Connection restored",""
"Working offline","Working offline",""
