"Source Text","Translated Text","Context"
"Bill of Quantities","Bordereau de Quantités",""
"Valuation","Évaluation",""
"Variation Order","Ordre de Variation",""
"Payment Certificate","Certificat de Paiement",""
"Cost Plan","Plan de Coût",""
"Tender Package","Dossier d'Appel d'Offres",""
"Tender Quote","Devis d'Appel d'Offres",""
"Final Account","Compte Final",""
"Quantity Survey Settings","Paramètres de Métré",""
"Title","Titre",""
"Project","Projet",""
"Status","Statut",""
"Description","Description",""
"Total Amount","Montant Total",""
"Total Quantity","Quantité Totale",""
"Rate","Taux",""
"Quantity","Quantité",""
"Amount","Montant",""
"Item Code","Code Article",""
"Item Name","Nom de l'Article",""
"UOM","Unité de Mesure",""
"BoQ Items","Articles du Bordereau",""
"Valuation Items","Articles d'Évaluation",""
"Variation Items","Articles de Variation",""
"Draft","Brouillon",""
"Submitted","Soumis",""
"Approved","Approuvé",""
"Cancelled","Annulé",""
"Pending","En Attente",""
"Rejected","Rejeté",""
"BoQ Summary","Résumé du Bordereau",""
"Valuation Sheet","Feuille d'Évaluation",""
"Variation Log","Journal des Variations",""
"Cost vs Actual","Coût vs Réel",""
"Progress Summary","Résumé du Progrès",""
"Retention Report","Rapport de Rétention",""
"Payment Summary","Résumé des Paiements",""
"Quantity Survey","Métré",""
"BoQ","Bordereau",""
"Unit","Unité",""
"Total","Total",""
"Completed","Terminé",""
"In Progress","En Cours",""
"Addition","Ajout",""
"Omission","Omission",""
"Substitution","Substitution",""
"Current","Actuel",""
"Previous","Précédent",""
"Cumulative","Cumulatif",""
"This Period","Cette Période",""
"Retention","Rétention",""
"Advance","Avance",""
"Certified Amount","Montant Certifié",""
"Net Amount","Montant Net",""
"Contract Value","Valeur du Contrat",""
"Work Done","Travail Effectué",""
"Materials on Site","Matériaux sur Site",""
"Less Previous","Moins Précédent",""
"Gross Amount","Montant Brut",""
"Create New","Créer Nouveau",""
"Save","Enregistrer",""
"Submit","Soumettre",""
"Cancel","Annuler",""
"Approve","Approuver",""
"Reject","Rejeter",""
"Print","Imprimer",""
"Export","Exporter",""
"Import","Importer",""
"Dashboard","Tableau de Bord",""
"Reports","Rapports",""
"Settings","Paramètres",""
"Help","Aide",""
"Profile","Profil",""
"Home","Accueil",""
"Navigation","Navigation",""
"Search","Rechercher",""
"Filter","Filtrer",""
"Sort","Trier",""
"View","Voir",""
"Edit","Modifier",""
"Delete","Supprimer",""
"Duplicate","Dupliquer",""
"Share","Partager",""
"Email","E-mail",""
"SMS","SMS",""
"Notification","Notification",""
"Alert","Alerte",""
"Warning","Avertissement",""
"Error","Erreur",""
"Success","Succès",""
"Information","Information",""
"Loading","Chargement",""
"Please wait","Veuillez patienter",""
"Processing","Traitement",""
"Uploading","Téléchargement vers le serveur",""
"Downloading","Téléchargement",""
"Saving","Enregistrement",""
"Submitting","Soumission",""
"Validating","Validation",""
"Complete","Complet",""
"Incomplete","Incomplet",""
"Required","Requis",""
"Optional","Optionnel",""
"Invalid","Invalide",""
"Valid","Valide",""
"Yes","Oui",""
"No","Non",""
"OK","OK",""
"Confirm","Confirmer",""
"Proceed","Continuer",""
"Continue","Continuer",""
"Back","Retour",""
"Next","Suivant",""
"Previous","Précédent",""
"First","Premier",""
"Last","Dernier",""
"Page","Page",""
"of","de",""
"Show","Afficher",""
"Hide","Cacher",""
"Expand","Étendre",""
"Collapse","Réduire",""
"Select","Sélectionner",""
"Deselect","Désélectionner",""
"Select All","Tout Sélectionner",""
"Clear All","Tout Effacer",""
"Apply","Appliquer",""
"Reset","Réinitialiser",""
"Clear","Effacer",""
"Close","Fermer",""
"Open","Ouvrir",""
"Refresh","Actualiser",""
"Reload","Recharger",""
"Update","Mettre à jour",""
"Mobile App","Application Mobile",""
"Touch to measure","Toucher pour mesurer",""
"Swipe to navigate","Glisser pour naviguer",""
"Tap to select","Appuyer pour sélectionner",""
"Hold to edit","Maintenir pour modifier",""
"Pinch to zoom","Pincer pour zoomer",""
"Offline mode","Mode hors ligne",""
"Sync required","Synchronisation requise",""
"Data saved locally","Données sauvegardées localement",""
"Upload pending","Téléchargement en attente",""
"Connection restored","Connexion rétablie",""
"Working offline","Travail hors ligne",""
