"Source Text","Translated Text","Context"
"Bill of Quantities","Lista de Quantidades",""
"Valuation","Avaliação",""
"Variation Order","Ordem de Variação",""
"Payment Certificate","Certificado de Pagamento",""
"Cost Plan","Plano de Custos",""
"Tender Package","Pacote de Licitação",""
"Tender Quote","Cotação de Licitação",""
"Final Account","Conta Final",""
"Quantity Survey Settings","Configurações de Levantamento de Quantidades",""
"Title","Título",""
"Project","Projeto",""
"Status","Status",""
"Description","Descrição",""
"Total Amount","Valor Total",""
"Total Quantity","Quantidade Total",""
"Rate","Taxa",""
"Quantity","Quantidade",""
"Amount","Valor",""
"Item Code","Código do Item",""
"Item Name","Nome do Item",""
"UOM","Unidade de Medida",""
"Contractor","Empreiteiro",""
"Valuation Date","Data de Avaliação",""
"Retention %","% Retenção",""
"Net Amount","Valor Líquido",""
"Gross Amount","Valor Bruto",""
"Work Completed","Trabalho Concluído",""
"Variation Type","Tipo de Variação",""
"Approved By","Aprovado Por",""
"Tender Date","Data da Licitação",""
"Submission Deadline","Prazo de Submissão",""
"Evaluation Criteria","Critérios de Avaliação",""
"Winning Contractor","Empreiteiro Vencedor",""
"Contract Value","Valor do Contrato",""
"Estimated Cost","Custo Estimado",""
"Final Amount","Valor Final",""
"Variance Analysis","Análise de Variação",""
"Payment Terms","Termos de Pagamento",""
"Warranty Period","Período de Garantia",""
"Completion Date","Data de Conclusão",""
"Draft","Rascunho",""
"Submitted","Submetido",""
"Approved","Aprovado",""
"Cancelled","Cancelado",""
"Pending","Pendente",""
"Rejected","Rejeitado",""
"Quantity Survey","Levantamento de Quantidades",""
"BoQ","Lista de Quantidades",""
"Unit","Unidade",""
"Total","Total",""
"Completed","Concluído",""
"In Progress","Em Progresso",""
"Addition","Adição",""
"Omission","Omissão",""
"Substitution","Substituição",""
"Current","Atual",""
"Previous","Anterior",""
"Cumulative","Cumulativo",""
"This Period","Este Período",""
"Retention","Retenção",""
"Advance","Antecipação",""
"Certified Amount","Valor Certificado",""
"Work Done","Trabalho Realizado",""
"Materials on Site","Materiais no Local",""
"Less Previous","Menos Anterior",""
"Create New","Criar Novo",""
"Save","Salvar",""
"Submit","Submeter",""
"Cancel","Cancelar",""
"Approve","Aprovar",""
"Reject","Rejeitar",""
"Print","Imprimir",""
"Export","Exportar",""
"Import","Importar",""
"Dashboard","Painel",""
"Reports","Relatórios",""
"Settings","Configurações",""
"Help","Ajuda",""
"Profile","Perfil",""
"Home","Início",""
"Navigation","Navegação",""
"Search","Pesquisar",""
"Filter","Filtrar",""
"Sort","Ordenar",""
"View","Visualizar",""
"Edit","Editar",""
"Delete","Excluir",""
"Duplicate","Duplicar",""
"Share","Compartilhar",""
"Email","E-mail",""
"SMS","SMS",""
"Notification","Notificação",""
"Alert","Alerta",""
"Warning","Aviso",""
"Error","Erro",""
"Success","Sucesso",""
"Information","Informação",""
"Loading","Carregando",""
"Please wait","Por favor aguarde",""
"Processing","Processando",""
"Uploading","Enviando",""
"Downloading","Baixando",""
"Saving","Salvando",""
"Submitting","Submetendo",""
"Validating","Validando",""
"Complete","Completo",""
"Incomplete","Incompleto",""
"Required","Obrigatório",""
"Optional","Opcional",""
"Invalid","Inválido",""
"Valid","Válido",""
"Yes","Sim",""
"No","Não",""
"OK","OK",""
"Confirm","Confirmar",""
"Proceed","Prosseguir",""
"Continue","Continuar",""
"Back","Voltar",""
"Next","Próximo",""
"Previous","Anterior",""
"First","Primeiro",""
"Last","Último",""
"Page","Página",""
"of","de",""
"Show","Mostrar",""
"Hide","Ocultar",""
"Expand","Expandir",""
"Collapse","Recolher",""
"Select","Selecionar",""
"Deselect","Desmarcar",""
"Select All","Selecionar Tudo",""
"Clear All","Limpar Tudo",""
"Apply","Aplicar",""
"Reset","Redefinir",""
"Clear","Limpar",""
"Close","Fechar",""
"Open","Abrir",""
"Refresh","Atualizar",""
"Reload","Recarregar",""
"Update","Atualizar",""
"Mobile App","Aplicativo Móvel",""
"Touch to measure","Toque para medir",""
"Swipe to navigate","Deslize para navegar",""
"Tap to select","Toque para selecionar",""
"Hold to edit","Segure para editar",""
"Pinch to zoom","Belisque para ampliar",""
"Offline mode","Modo offline",""
"Sync required","Sincronização necessária",""
"Data saved locally","Dados salvos localmente",""
"Upload pending","Upload pendente",""
"Connection restored","Conexão restaurada",""
"Working offline","Trabalhando offline",""
