"Source Text","Translated Text","Context"
"Bill of Quantities","Orodha ya Vipimo",""
"Valuation","Tathmini",""
"Variation Order","Amri ya Mabadiliko",""
"Payment Certificate","Cheti cha Malipo",""
"Cost Plan","Mpango wa Gharama",""
"Tender Package","Kifurushi cha Zabuni",""
"Tender Quote","Bei ya Zabuni",""
"Final Account","Akaunti ya Mwisho",""
"Quantity Survey Settings","Mipangilio ya Upimaji wa Vipimo",""
"Title","Kichwa",""
"Project","Mradi",""
"Status","Hali",""
"Description","Maelezo",""
"Total Amount","Jumla ya Kiasi",""
"Total Quantity","Jumla ya Vipimo",""
"Rate","Kiwango",""
"Quantity","Kipimo",""
"Amount","Kiasi",""
"Item Code","Msimbo wa Kitu",""
"Item Name","Jina la Kitu",""
"UOM","Kipimo cha Vipande",""
"Contractor","Mkandarasi",""
"Valuation Date","Tarehe ya Tathmini",""
"Retention %","% ya Kuhifadhi",""
"Net Amount","Kiasi Halisi",""
"Gross Amount","Kiasi Jumla",""
"Work Completed","Kazi Iliyokamilika",""
"Variation Type","Aina ya Mabadiliko",""
"Approved By","Imeidhinishwa na",""
"Tender Date","Tarehe ya Zabuni",""
"Submission Deadline","Tarehe ya Mwisho ya Kuwasilisha",""
"Evaluation Criteria","Vigezo vya Tathmini",""
"Winning Contractor","Mkandarasi Mshindi",""
"Contract Value","Thamani ya Mkataba",""
"Estimated Cost","Gharama Iliyokadirika",""
"Final Amount","Kiasi cha Mwisho",""
"Variance Analysis","Uchambuzi wa Tofauti",""
"Payment Terms","Masharti ya Malipo",""
"Warranty Period","Kipindi cha Dhamana",""
"Completion Date","Tarehe ya Kukamilika",""
"Draft","Rasimu",""
"Submitted","Imewasilishwa",""
"Approved","Imeidhinishwa",""
"Cancelled","Imeghairiwa",""
"Pending","Inasubiri",""
"Rejected","Imekataliwa",""
"Quantity Survey","Upimaji wa Vipimo",""
"BoQ","Orodha ya Vipimo",""
"Unit","Kipande",""
"Total","Jumla",""
"Completed","Imekamilika",""
"In Progress","Inaendelea",""
"Addition","Kuongeza",""
"Omission","Kuacha",""
"Substitution","Kubadilisha",""
"Current","Ya Sasa",""
"Previous","Ya Awali",""
"Cumulative","Jumla",""
"This Period","Kipindi Hiki",""
"Retention","Kuhifadhi",""
"Advance","Kiotea",""
"Certified Amount","Kiasi Kilichothibitishwa",""
"Work Done","Kazi Iliyofanyika",""
"Materials on Site","Vifaa Vinavyopatikana",""
"Less Previous","Minus ya Awali",""
"Create New","Unda Mpya",""
"Save","Hifadhi",""
"Submit","Wasilisha",""
"Cancel","Ghairi",""
"Approve","Idhinisha",""
"Reject","Kataa",""
"Print","Chapisha",""
"Export","Hamisha",""
"Import","Ingiza",""
"Dashboard","Ubao wa Habari",""
"Reports","Ripoti",""
"Settings","Mipangilio",""
"Help","Msaada",""
"Profile","Wasifu",""
"Home","Nyumbani",""
"Navigation","Urambazaji",""
"Search","Tafuta",""
"Filter","Chuja",""
"Sort","Panga",""
"View","Ona",""
"Edit","Hariri",""
"Delete","Futa",""
"Duplicate","Nakili",""
"Share","Shiriki",""
"Email","Barua Pepe",""
"SMS","Ujumbe Mfupi",""
"Notification","Taarifa",""
"Alert","Tahadhari",""
"Warning","Onyo",""
"Error","Kosa",""
"Success","Mafanikio",""
"Information","Habari",""
"Loading","Inapakia",""
"Please wait","Tafadhali subiri",""
"Processing","Inachakata",""
"Uploading","Inapakia",""
"Downloading","Inapakinua",""
"Saving","Inahifadhi",""
"Submitting","Inawasilisha",""
"Validating","Inathibitisha",""
"Complete","Kamili",""
"Incomplete","Haijamalizika",""
"Required","Inahitajika",""
"Optional","Si Lazima",""
"Invalid","Si Sahihi",""
"Valid","Sahihi",""
"Yes","Ndiyo",""
"No","Hapana",""
"OK","Sawa",""
"Confirm","Thibitisha",""
"Proceed","Endelea",""
"Continue","Endelea",""
"Back","Rudi",""
"Next","Ifuatayo",""
"Previous","Ya Awali",""
"First","Ya Kwanza",""
"Last","Ya Mwisho",""
"Page","Ukurasa",""
"of","ya",""
"Show","Onyesha",""
"Hide","Ficha",""
"Expand","Panua",""
"Collapse","Kunja",""
"Select","Chagua",""
"Deselect","Acha Kuchagua",""
"Select All","Chagua Zote",""
"Clear All","Futa Zote",""
"Apply","Tumia",""
"Reset","Weka Upya",""
"Clear","Futa",""
"Close","Funga",""
"Open","Fungua",""
"Refresh","Onyesha Upya",""
"Reload","Pakia Upya",""
"Update","Sasisha",""
"Mobile App","Programu ya Simu",""
"Touch to measure","Gusa kupima",""
"Swipe to navigate","Teleza kusonga",""
"Tap to select","Gonga kuchagua",""
"Hold to edit","Shika kuhariri",""
"Pinch to zoom","Bana kukuza",""
"Offline mode","Hali ya nje ya mtandao",""
"Sync required","Ulandanishi unahitajika",""
"Data saved locally","Data imehifadhiwa kimaeneo",""
"Upload pending","Upakiaji unasubiri",""
"Connection restored","Muunganisho umerejesha",""
"Working offline","Kufanya kazi nje ya mtandao",""
