"Source Text","Translated Text","Context"
"Bill of Quantities","Metraj Listesi",""
"Valuation","Değerleme",""
"Variation Order","Varyasyon Emri",""
"Payment Certificate","Ödeme Sertifikası",""
"Cost Plan","Maliyet Planı",""
"Tender Package","İhale Paketi",""
"Tender Quote","İhale Teklifi",""
"Final Account","Final Hesap",""
"Quantity Survey Settings","Metraj Ayarları",""
"Title","Başlık",""
"Project","Proje",""
"Status","Durum",""
"Description","Açıklama",""
"Total Amount","Toplam Tutar",""
"Total Quantity","Toplam Miktar",""
"Rate","Oran",""
"Quantity","Miktar",""
"Amount","Tutar",""
"Item Code","Madde Kodu",""
"Item Name","Madde Adı",""
"UOM","Ölçü Birimi",""
"Contractor","Müteahhit",""
"Valuation Date","Değerleme Tarihi",""
"Retention %","% Alıkoyma",""
"Net Amount","Net Tutar",""
"Gross Amount","Brüt Tutar",""
"Work Completed","Tamamlanan İş",""
"Variation Type","Varyasyon Türü",""
"Approved By","Onaylayan",""
"Tender Date","İhale Tarihi",""
"Submission Deadline","Başvuru Son Tarihi",""
"Evaluation Criteria","Değerlendirme Kriterleri",""
"Winning Contractor","Kazanan Müteahhit",""
"Contract Value","Sözleşme Değeri",""
"Estimated Cost","Tahmini Maliyet",""
"Final Amount","Final Tutar",""
"Variance Analysis","Varyans Analizi",""
"Payment Terms","Ödeme Koşulları",""
"Warranty Period","Garanti Süresi",""
"Completion Date","Tamamlanma Tarihi",""
"Draft","Taslak",""
"Submitted","Gönderildi",""
"Approved","Onaylandı",""
"Cancelled","İptal Edildi",""
"Pending","Beklemede",""
"Rejected","Reddedildi",""
"Quantity Survey","Metraj",""
"BoQ","Metraj Listesi",""
"Unit","Birim",""
"Total","Toplam",""
"Completed","Tamamlandı",""
"In Progress","Devam Ediyor",""
"Addition","Ekleme",""
"Omission","Çıkarma",""
"Substitution","Değiştirme",""
"Current","Mevcut",""
"Previous","Önceki",""
"Cumulative","Kümülatif",""
"This Period","Bu Dönem",""
"Retention","Alıkoyma",""
"Advance","Avans",""
"Certified Amount","Onaylanmış Tutar",""
"Work Done","Yapılan İş",""
"Materials on Site","Sahada Malzemeler",""
"Less Previous","Önceki Daha Az",""
"Create New","Yeni Oluştur",""
"Save","Kaydet",""
"Submit","Gönder",""
"Cancel","İptal",""
"Approve","Onayla",""
"Reject","Reddet",""
"Print","Yazdır",""
"Export","Dışa Aktar",""
"Import","İçe Aktar",""
"Dashboard","Pano",""
"Reports","Raporlar",""
"Settings","Ayarlar",""
"Help","Yardım",""
"Profile","Profil",""
"Home","Ana Sayfa",""
"Navigation","Navigasyon",""
"Search","Ara",""
"Filter","Filtrele",""
"Sort","Sırala",""
"View","Görüntüle",""
"Edit","Düzenle",""
"Delete","Sil",""
"Duplicate","Kopyala",""
"Share","Paylaş",""
"Email","E-posta",""
"SMS","SMS",""
"Notification","Bildirim",""
"Alert","Uyarı",""
"Warning","Dikkat",""
"Error","Hata",""
"Success","Başarılı",""
"Information","Bilgi",""
"Loading","Yükleniyor",""
"Please wait","Lütfen bekleyin",""
"Processing","İşleniyor",""
"Uploading","Yükleniyor",""
"Downloading","İndiriliyor",""
"Saving","Kaydediliyor",""
"Submitting","Gönderiliyor",""
"Validating","Doğrulanıyor",""
"Complete","Tamamla",""
"Incomplete","Tamamlanmamış",""
"Required","Gerekli",""
"Optional","İsteğe Bağlı",""
"Invalid","Geçersiz",""
"Valid","Geçerli",""
"Yes","Evet",""
"No","Hayır",""
"OK","Tamam",""
"Confirm","Onayla",""
"Proceed","Devam Et",""
"Continue","Devam",""
"Back","Geri",""
"Next","Sonraki",""
"Previous","Önceki",""
"First","İlk",""
"Last","Son",""
"Page","Sayfa",""
"of","nin",""
"Show","Göster",""
"Hide","Gizle",""
"Expand","Genişlet",""
"Collapse","Daralt",""
"Select","Seç",""
"Deselect","Seçimi Kaldır",""
"Select All","Tümünü Seç",""
"Clear All","Tümünü Temizle",""
"Apply","Uygula",""
"Reset","Sıfırla",""
"Clear","Temizle",""
"Close","Kapat",""
"Open","Aç",""
"Refresh","Yenile",""
"Reload","Yeniden Yükle",""
"Update","Güncelle",""
"Mobile App","Mobil Uygulama",""
"Touch to measure","Ölçmek için dokunun",""
"Swipe to navigate","Gezinmek için kaydırın",""
"Tap to select","Seçmek için dokunun",""
"Hold to edit","Düzenlemek için basılı tutun",""
"Pinch to zoom","Yakınlaştırmak için kıstırın",""
"Offline mode","Çevrimdışı mod",""
"Sync required","Senkronizasyon gerekli",""
"Data saved locally","Veriler yerel olarak kaydedildi",""
"Upload pending","Yükleme beklemede",""
"Connection restored","Bağlantı geri yüklendi",""
"Working offline","Çevrimdışı çalışıyor",""
